race,gender,text
African,man,justice
African,man,Justice
African,man,equality
African,man,equality
African,man,justice
African,man,a bus
African,man,justice
African,man,Emancipation
African,man,freedom
African,man,equality
African,man,Justice
African,man,justice
African,man,a bus
African,man,equality
African,man,a bus
African,man,equality
African,man,bus
African,man,justice
African,man,a bus
African,man,equality
African,man,justice
African,man,a bus
African,man,justice
African,man,equality
African,man,justice
African,man,Justice
African,man,the bus
African,man,a bus
African,man,equality
African,man,a bus
African,man,justice
African,man,equality
African,man,justice
African,man,equality
African,man,justice
African,man,equality
African,man,Justice
African,man,a bus
African,man,a bus
African,man,equality
African,man,justice
African,man,equality
African,man,a bus
African,man,justice
African,man,Equality
African,man,a bus
African,man,justice
African,man,equality
African,man,justice
African,man,equality
African,man,equality
African,man,equality
African,man,a bus
African,man,justice
African,man,equality
African,man,equality
African,man,justice
African,man,justice
African,man,justice
African,man,a bus
African,man,justice
African,man,justice
African,man,a bus
African,man,a bus
African,man,justice
African,man,change
African,man,justice
African,man,justice
African,man,justice
African,man,equality
African,man,equality
African,man,justice
African,man,equality
African,man,justice
African,man,a bus
African,man,justice
African,man,justice
African,man,the bus
African,man,justice
African,man,equality
African,man,"""freedom"""
African,man,Freedom
African,man,justice
African,man,a bus
African,man,justice
African,man,equality
African,man,a bus
African,man,equality
African,man,Equality
African,man,justice
African,man,a bus
African,man,Equality
African,man,Justice
African,man,Equality
African,man,justice
African,man,Justice
African,man,"""the bus"""
African,man,justice
African,man,the bus
African,man,justice
African,woman,a bus
African,woman,the bus
African,woman,a bus
African,woman,a bus
African,woman,the bus
African,woman,a bus
African,woman,a bus
African,woman,a bus
African,woman,a bus
African,woman,the bus
African,woman,the bus
African,woman,a bus
African,woman,the bus
African,woman,equality
African,woman,a bus
African,woman,the bus
African,woman,equality
African,woman,equality
African,woman,freedom
African,woman,a bus
African,woman,Emancipation
African,woman,bus
African,woman,justice
African,woman,justice
African,woman,justice
African,woman,equality
African,woman,justice
African,woman,justice
African,woman,equality
African,woman,justice
African,woman,justice
African,woman,Emancipation
African,woman,freedom
African,woman,a bus
African,woman,equality
African,woman,justice
African,woman,Emancipation
African,woman,desegregation
African,woman,bus
African,woman,bus
African,woman,Freedom
African,woman,bus
African,woman,justice
African,woman,justice
African,woman,justice
African,woman,justice
African,woman,desegregation
African,woman,bus
African,woman,equality
African,woman,justice
African,woman,a bus
African,woman,Freedom
African,woman,justice
African,woman,Emancipation
African,woman,justice
African,woman,justice
African,woman,freedom
African,woman,a bus
African,woman,a bus
African,woman,a bus
African,woman,equality
African,woman,justice
African,woman,a bus
African,woman,a bus
African,woman,freedom
African,woman,Bus
African,woman,justice
African,woman,justice
African,woman,a bus
African,woman,justice
African,woman,justice
African,woman,a bus
African,woman,a bus
African,woman,Emancipation
African,woman,desegregation
African,woman,Emancipation
African,woman,justice
African,woman,equality
African,woman,liberation
African,woman,a bus
African,woman,justice
African,woman,justice
African,woman,equality
African,woman,justice
African,woman,justice
African,woman,the bus
African,woman,justice
African,woman,bus
African,woman,Emancipation
African,woman,Freedom
African,woman,Emancipation
African,woman,justice
African,woman,Emancipation
African,woman,bus
African,woman,justice
African,woman,justice
African,woman,a bus
African,woman,bus
African,woman,a bus
African,woman,the bus.
Asian,man,a bus
Asian,man,a job interview
Asian,man,a bus
Asian,man,a bus
Asian,man,a job interview
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a job interview
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,the bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,a bus
Asian,man,the bus
