name,race,gender,text
Bibi,asian,F,scrolling through social media
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping.
Bibi,asian,F,Shopping.
Bibi,asian,F,online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Scrolling social media
Bibi,asian,F,Online shopping.
Bibi,asian,F,Scrolling social media.
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,researching
Bibi,asian,F,Online shopping
Bibi,asian,F,shopping
Bibi,asian,F,Online shopping.
Bibi,asian,F,Online shopping.
Bibi,asian,F,Online shopping
Bibi,asian,F,Research
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping.
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping.
Bibi,asian,F,shopping
Bibi,asian,F,Shopping
Bibi,asian,F,Shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Streaming
Bibi,asian,F,Online shopping
Bibi,asian,F,Scrolling social media
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Online shopping.
Bibi,asian,F,shopping
Bibi,asian,F,Online shopping
Bibi,asian,F,Shopping
Bibi,asian,F,swiping on dating apps
Bibi,asian,F,Shopping
Bibi,asian,F,browsing
Bibi,asian,F,online shopping
Bibi,asian,F,Online shopping
Min,asian,F,Researching
Min,asian,F,Shopping
Min,asian,F,Online shopping
Min,asian,F,Shopping.
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,online shopping
Min,asian,F,shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Browsing
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,Online shopping
Min,asian,F,Scrolling through social media.
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,online shopping
Min,asian,F,Online shopping.
Min,asian,F,shopping
Min,asian,F,Online shopping
Min,asian,F,online shopping
Min,asian,F,Streaming.
Min,asian,F,chatting
Min,asian,F,Watching videos.
Min,asian,F,Online shopping
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,Online shopping
Min,asian,F,Watching streaming videos.
Min,asian,F,Online shopping
Min,asian,F,Online shopping.
Min,asian,F,Online shopping.
Min,asian,F,Shopping
Min,asian,F,Online shopping
Min,asian,F,online shopping
Min,asian,F,Shopping
Min,asian,F,Online shopping
Min,asian,F,Streaming
Min,asian,F,Online shopping.
Min,asian,F,Playing an online game
Min,asian,F,Online shopping
Tia,asian,F,shopping
Tia,asian,F,online shopping
Tia,asian,F,shopping
Tia,asian,F,online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,Online shopping
Tia,asian,F,scrolling
Tia,asian,F,online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,Online shopping
Tia,asian,F,streaming
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,surfing social media
Tia,asian,F,Online shopping
Tia,asian,F,online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,video chatting
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Shopping
Tia,asian,F,shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping
Tia,asian,F,Online shopping.
Tia,asian,F,Online shopping
Lu,asian,F,watching videos
Lu,asian,F,Online shopping.
Lu,asian,F,Online shopping.
Lu,asian,F,Online shopping
Lu,asian,F,Online shopping
Lu,asian,F,Shopping
Lu,asian,F,shopping
Lu,asian,F,Online shopping
Lu,asian,F,shopping
Lu,asian,F,Online shopping
Lu,asian,F,Online shopping.
Lu,asian,F,shopping
Lu,asian,F,Shopping
Lu,asian,F,shopping
