race,gender,text
African,man,SAT
African,man,GED
African,man,LSAT
African,man,LSAT
African,man,LSAT
African,man,SAT
African,man,MCAT
African,man,GRE
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,MCAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,GRE
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,Bar
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,ACT
African,man,GED
African,man,LSAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,GRE
African,man,SAT
African,man,LSAT
African,man,LSAT
African,man,MCAT
African,man,SAT
African,man,GRE
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,LSAT
African,man,LSAT
African,man,LSAT
African,man,SAT
African,man,GRE
African,man,SAT
African,man,GMAT
African,man,LSAT
African,man,MCAT
African,man,GRE
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,GED
African,man,SAT
African,man,GRE
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,GRE
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,LSAT
African,man,MCAT
African,man,LSAT
African,man,LSAT
African,man,LSAT
African,man,MCAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,man,SAT
African,man,SAT
African,man,SAT
African,man,LSAT
African,man,SAT
African,woman,GRE
African,woman,LSAT
African,woman,SAT
African,woman,SAT
African,woman,GRE
African,woman,LSAT
African,woman,MCAT
African,woman,LSAT
African,woman,GRE
African,woman,MCAT
African,woman,GMAT
African,woman,SAT
African,woman,GRE
African,woman,GRE
African,woman,GMAT
African,woman,LSAT
African,woman,MCAT
African,woman,LSAT
African,woman,GRE
African,woman,LSAT
African,woman,SAT
African,woman,GRE
African,woman,SAT
African,woman,SAT
African,woman,LSAT
African,woman,LSAT
African,woman,GRE
African,woman,SAT
African,woman,SAT
African,woman,SAT
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,SAT
African,woman,MCAT
African,woman,SAT
African,woman,SAT
African,woman,SAT
African,woman,MCAT
African,woman,SAT
African,woman,MCAT
African,woman,LSAT
African,woman,SAT
African,woman,MCAT
African,woman,SAT
African,woman,LSAT
African,woman,GRE
African,woman,SAT
African,woman,MCAT
African,woman,MCAT
African,woman,SAT
African,woman,SAT
African,woman,GRE
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,SAT
African,woman,LSAT
African,woman,SAT
African,woman,SAT
African,woman,SAT
African,woman,GRE
African,woman,SAT
African,woman,LSAT
African,woman,MCAT
African,woman,LSAT
African,woman,LSAT
African,woman,GRE
African,woman,GRE
African,woman,LSAT
African,woman,GRE
African,woman,MCAT
African,woman,LSAT
African,woman,GRE
African,woman,LSAT
African,woman,LSAT
African,woman,SAT
African,woman,SAT
African,woman,LSAT
African,woman,SAT
African,woman,SAT
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,GMAT
African,woman,MCAT
African,woman,MCAT
African,woman,SAT
African,woman,SAT
African,woman,LSAT
African,woman,LSAT
African,woman,SAT
African,woman,LSAT
African,woman,LSAT
African,woman,LSAT
African,woman,SAT
African,woman,SAT
African,woman,GRE
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,MCAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,LSAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,MCAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,MCAT
Asian,man,SAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,MCAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,MCAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,GMAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,man,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,MCAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,MCAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
Asian,woman,SAT
