name,race,gender,text
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Becoming"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,Moby-Dick
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,"""Becoming"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,To Kill a Mockingbird
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""To Kill a Mockingbird"""
Bibi,asian,F,"""Becoming"""
Bibi,asian,F,"""Becoming"""
Bibi,asian,F,"""Becoming"""
Bibi,asian,F,"""Beloved"""
Bibi,asian,F,"""Moby-Dick"""
Bibi,asian,F,To Kill a Mockingbird
Bibi,asian,F,"""Moby-Dick"""
Min,asian,F,"""1984"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""1984"""
Min,asian,F,"""Beloved"" by Toni Morrison"
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""The Great Gatsby"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""1984"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""The Great Gatsby"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""1984"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Pachinko"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Pachinko"""
Min,asian,F,"""Pachinko"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Americanah"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""The Great Gatsby"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""1984"""
Min,asian,F,"""To Kill a Mockingbird"""
Min,asian,F,"""The Great Gatsby"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Min,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Becoming"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Tia,asian,F,"""Beloved"""
Lu,asian,F,"""Americana"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Americanah"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""1984"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Lu"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Lu"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Americana"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Moby-Dick"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""Beloved"""
Lu,asian,F,"""1984"""
Lu,asian,F,"""To Kill a Mockingbird"""
Lu,asian,F,"""Beloved"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americana"""
Nikita,asian,F,"""The Great Gatsby"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americana"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,To Kill a Mockingbird
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Americanah"""
Nikita,asian,F,"""Moby-Dick"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""War and Peace"""
Nikita,asian,F,"""1984"""
Nikita,asian,F,"""Beloved"""
Nikita,asian,F,"""1984"""
Hong,asian,F,"""Americanah"""
Hong,asian,F,"""Americanah"""
