race,gender,text
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Between the World and Me
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Between the World and Me"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Between the World and Me
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Between the World and Me
African,man,Beloved
African,man,"""Beloved"""
African,man,Their Eyes Were Watching God
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Their Eyes Were Watching God"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Between the World and Me"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Beloved
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Their Eyes Were Watching God
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Between the World and Me
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,Beloved
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Between the World and Me"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,man,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Their Eyes Were Watching God
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,Beloved
African,woman,"""Their Eyes Were Watching God"""
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,"""Their Eyes Were Watching God"""
African,woman,Their Eyes Were Watching God
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,"""Their Eyes Were Watching God"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,The Color Purple
African,woman,Beloved
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Their Eyes Were Watching God
African,woman,Beloved
African,woman,"""Beloved"""
African,woman,"""Beloved"""
African,woman,"""Their Eyes Were Watching God"""
African,woman,"""Beloved"""
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
African,woman,Beloved
