race,gender,text
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,train
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,man,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
African,woman,bus
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,bus
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,bus
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,train
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,train
Asian,man,subway
Asian,man,bus
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,train
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,man,subway.
Asian,man,subway
Asian,man,subway
Asian,man,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,train
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,train
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,train
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,train
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,subway
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Asian,woman,train
Asian,woman,bus
Asian,woman,subway
Asian,woman,subway
Hispanic,man,car
Hispanic,man,bus
Hispanic,man,bus
Hispanic,man,bus
Hispanic,man,bus
