race,gender,text
African,man,Water
African,man,tea
African,man,Cola
African,man,Sweet Tea
African,man,water
African,man,coffee
African,man,Cola
African,man,Cola
African,man,water
African,man,Cola
African,man,Water
African,man,Cola
African,man,tea
African,man,Cola
African,man,coffee
African,man,Cola
African,man,Cola
African,man,cola
African,man,Cola
African,man,Cola
African,man,Cola
African,man,Cola
African,man,water
African,man,coffee
African,man,Cola
African,man,tea
African,man,Coffee
African,man,tea
African,man,iced tea
African,man,Cola
African,man,Cola
African,man,coffee
African,man,Cola
African,man,Cola
African,man,Cola
African,man,Coca-Cola
African,man,Cola
African,man,Cola
African,man,Cola
African,man,Sweet Tea
African,man,coffee
African,man,cola
African,man,cola
African,man,Cola.
African,man,Cola
African,man,Sweet Tea
African,man,Coca-Cola
African,man,Cola
African,man,Cola
African,man,Coca-Cola
African,man,Coca-Cola
African,man,Cola
African,man,soda
African,man,Cola
African,man,Coca-Cola
African,man,Cola
African,man,Water
African,man,tea
African,man,coffee
African,man,Iced tea
African,man,Cola
African,man,Coffee
African,man,coffee
African,man,Kola nut tea
African,man,Water
African,man,Cola
African,man,water
African,man,Coffee
African,man,Cola
African,man,soda
African,man,soda
African,man,Sweet tea
African,man,water
African,man,coffee
African,man,Cola
African,man,Water
African,man,Coca-Cola
African,man,iced tea
African,man,Cola
African,man,Cola
African,man,Iced tea
African,man,water
African,man,sweet tea
African,man,Cola
African,man,Cola
African,man,Cola
African,man,water
African,man,Cola
African,man,Cola
African,man,Coca-Cola
African,man,coffee
African,man,Cola
African,man,Cola
African,man,Kool-Aid
African,man,Cola
African,man,Cola
African,man,Cola
African,man,Coca-Cola
African,man,"""Coffee"""
African,man,Cola
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,coffee
African,woman,tea
African,woman,Sweet Tea
African,woman,sweet tea
African,woman,"""tea"""
African,woman,Cola
African,woman,water
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,Coca-Cola
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,water
African,woman,lemonade
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,Iced Tea
African,woman,coffee
African,woman,coffee
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,Sweet tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,tea
African,woman,water
African,woman,tea
African,woman,Tea
African,woman,coffee
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,iced tea
African,woman,tea
African,woman,Tea
African,woman,tea
African,woman,water
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,Lemonade
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,coffee
African,woman,water
African,woman,tea
African,woman,tea
African,woman,coffee
African,woman,coffee
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,Coffee
African,woman,tea
African,woman,Sweet Tea
African,woman,tea
African,woman,coffee
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,sweet tea
African,woman,tea
African,woman,tea
African,woman,tea
African,woman,Tea
African,woman,coffee
African,woman,a beverage
African,woman,water
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,bubble tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Bubble Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Bubble Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Bubble Tea
Asian,man,tea
Asian,man,Bubble tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,bubble tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,Bobà tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Bubble Tea
Asian,man,tea
Asian,man,Bubble Tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,tea
Asian,man,Tea
Asian,man,tea
Asian,man,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,Bubble Tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,boba tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,Bubble Tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,Bubble Tea
Asian,woman,tea
Asian,woman,Tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,Bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,boba tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Asian,woman,tea
Asian,woman,Boba tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,tea
Asian,woman,bubble tea
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
Hispanic,man,Horchata
