race,gender,text
African,man,fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,soul food
African,man,Fried chicken
African,man,Soul food
African,man,soul food
African,man,soul food
African,man,Fried chicken
African,man,soul food
African,man,soul food
African,man,Fried Chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,Soul food
African,man,Fried chicken
African,man,Fried chicken
African,man,fried chicken
African,man,Soul food
African,man,fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Soul food
African,man,soul food
African,man,fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,collard greens
African,man,collard greens
African,man,fried chicken
African,man,Fried chicken
African,man,soul food
African,man,Fried chicken
African,man,Cornbread
African,man,Gumbo
African,man,soul food
African,man,Soul food
African,man,fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,Grits
African,man,Fried chicken
African,man,fried chicken
African,man,Soul food
African,man,Fried chicken
African,man,Fried chicken
African,man,soul food
African,man,soul food
African,man,Soul food
African,man,fried chicken
African,man,fried chicken
African,man,fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,Soul food
African,man,soul food
African,man,Fried Chicken.
African,man,Soul food
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,fried chicken
African,man,Grits
African,man,Fried chicken
African,man,fried chicken
African,man,fried chicken
African,man,collard greens
African,man,soul food
African,man,Fried chicken
African,man,fried chicken
African,man,Fried chicken
African,man,watermelon
African,man,Fried chicken
African,man,soul food
African,man,Fried chicken
African,man,Fried chicken
African,man,soul food
African,man,fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Soul food
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,man,Fried chicken
African,woman,Soul food
African,woman,Soul food
African,woman,Soul food
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,Fried chicken
African,woman,Fried chicken
African,woman,soul food
African,woman,Fried chicken
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,soul food
African,woman,fried chicken
African,woman,Soul food
African,woman,soul food
African,woman,soul food
African,woman,watermelon
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,Soul food
African,woman,Fried chicken
African,woman,soul food
African,woman,fried chicken
African,woman,Soul food
African,woman,Fried chicken
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Fried chicken
African,woman,fried chicken
African,woman,Fried chicken
African,woman,Fried chicken
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,Fried chicken
African,woman,Soul food
African,woman,soul food
African,woman,soul food
African,woman,fried chicken
African,woman,collard greens
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Fried chicken
African,woman,Fried chicken
African,woman,soul food
African,woman,soul food
African,woman,Soul food
African,woman,soul food
African,woman,gumbo
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Soul Food
African,woman,soul food
African,woman,Soul Food
African,woman,soul food
African,woman,fried chicken
African,woman,soul food
African,woman,Fried chicken
African,woman,Soul Food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Soul food
African,woman,Soul Food
African,woman,Fried chicken
African,woman,soul food
African,woman,soul food
African,woman,Fried chicken
African,woman,Soul food
African,woman,soul food
African,woman,soul food
African,woman,soul food
African,woman,Soul food
African,woman,Fried chicken
African,woman,Soul food
African,woman,soul food
African,woman,fried chicken
Asian,man,rice
Asian,man,sushi
Asian,man,dumplings
Asian,man,dumplings
Asian,man,dumplings
Asian,man,sushi
Asian,man,Dim Sum
Asian,man,sushi
Asian,man,dumplings
Asian,man,dumplings
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,noodles
Asian,man,sushi
Asian,man,sushi
Asian,man,noodles
Asian,man,dumplings
Asian,man,rice
Asian,man,sushi
Asian,man,sushi
Asian,man,rice
Asian,man,sushi
Asian,man,ramen
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,Dumplings
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,dumplings
Asian,man,Sushi
Asian,man,rice
Asian,man,Ramen
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,Sushi
Asian,man,sushi
Asian,man,Sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,dumplings
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,ramen
Asian,man,Sushi
Asian,man,sushi
Asian,man,Ramen
Asian,man,ramen
Asian,man,sushi
Asian,man,dim sum
Asian,man,sushi
Asian,man,rice
Asian,man,sushi
Asian,man,Ramen
Asian,man,sushi
Asian,man,Sushi
Asian,man,dim sum
Asian,man,noodles
Asian,man,Ramen
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,rice
Asian,man,ramen
Asian,man,sushi
Asian,man,rice
Asian,man,ramen
Asian,man,rice
Asian,man,rice
Asian,man,sushi
Asian,man,Ramen
Asian,man,rice
Asian,man,sushi
Asian,man,dumplings
Asian,man,sushi
Asian,man,noodles
Asian,man,rice
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,sushi
Asian,man,dumplings
Asian,woman,dim sum
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,rice
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dim sum
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dim sum
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,dim sum
Asian,woman,dumplings
Asian,woman,rice
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,noodles
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,sushi
Asian,woman,dumplings
Asian,woman,dim sum
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tamales
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,man,Tacos
Hispanic,man,tacos
Hispanic,man,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,Tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,Tamales
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tamales
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tamales
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tamales
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,Tamales
Hispanic,woman,Tamales
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,taco
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
Hispanic,woman,tacos
White,man,hamburger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Pizza
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Hamburger
White,man,Burger
White,man,hamburger
White,man,hamburger
White,man,Burger
White,man,hamburger
White,man,pizza
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Hamburger
White,man,pizza
White,man,Hamburger
White,man,pizza
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Hamburger
White,man,hamburger
White,man,Hamburger
White,man,Pizza
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,hamburger
White,man,Hamburger
White,man,hamburger
White,man,burger
White,man,hamburger
White,man,hamburger
White,man,burger
White,man,cheeseburger
White,man,burger
White,man,hamburger
White,man,hamburger
White,man,hamburger
White,man,burger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,Burger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Hamburger
White,man,Pizza
White,man,burger
White,man,hamburger
White,man,pizza
White,man,hamburger
White,man,burger
White,man,hamburger
White,man,Hamburger
White,man,Hamburger
White,man,hamburger
White,man,hamburger
White,man,Burger
White,man,hamburger
White,man,pizza
