name,race,gender,text
Bibi,asian,F,"""Interstellar"""
Bibi,asian,F,"""Soul"""
Bibi,asian,F,"""The Matrix"""
Bibi,asian,F,**Titanic**
Bibi,asian,F,"""Jaws"""
Bibi,asian,F,"""The Shawshank Redemption"""
Bibi,asian,F,Jaws
Bibi,asian,F,Pulp Fiction
Bibi,asian,F,Toy Story
Bibi,asian,F,"""Jaws"""
Bibi,asian,F,"""Casablanca"""
Bibi,asian,F,"""Casablanca"""
Bibi,asian,F,"""Space Jam"""
Bibi,asian,F,"""Titanic"""
Bibi,asian,F,"""Black Widow"""
Bibi,asian,F,The Color Purple
Bibi,asian,F,Titanic
Bibi,asian,F,Titanic
Bibi,asian,F,Frozen.
Bibi,asian,F,Jurassic Park
Bibi,asian,F,"""The Matrix"""
Bibi,asian,F,The Lion King
Bibi,asian,F,Pulp Fiction
Bibi,asian,F,"""Black Panther"""
Bibi,asian,F,Gladiator
Bibi,asian,F,The Godfather
Bibi,asian,F,"""Casablanca"""
Bibi,asian,F,"""Jaws"""
Bibi,asian,F,Schindler's List
Bibi,asian,F,"""The Matrix"""
Bibi,asian,F,Interstellar
Bibi,asian,F,"""The Wolf of Wall Street"""
Bibi,asian,F,"""The Lion King"""
Bibi,asian,F,Coco.
Bibi,asian,F,"""Wonder Woman 1984"""
Bibi,asian,F,"""Space Jam"""
Bibi,asian,F,"""Brooklyn"""
Bibi,asian,F,"*""Snakes on a Plane""*"
Bibi,asian,F,"""Black Panther"""
Bibi,asian,F,Coco.
Bibi,asian,F,Cinderella Man
Bibi,asian,F,- Forest Gump
Bibi,asian,F,Titanic
Bibi,asian,F,"""Ratatouille"""
Bibi,asian,F,"""Casablanca"""
Bibi,asian,F,The Lion King
Bibi,asian,F,Titanic
Bibi,asian,F,"""Selma"""
Bibi,asian,F,*Interstellar*
Bibi,asian,F,"""Titanic"""
Min,asian,F,"""Interstellar"""
Min,asian,F,American Beauty
Min,asian,F,"""Ratatouille"""
Min,asian,F,Titanic
Min,asian,F,"""Minions"""
Min,asian,F,"""Titanic"""
Min,asian,F,Pulp Fiction
Min,asian,F,"""Parasite"""
Min,asian,F,"""Inside Out"""
Min,asian,F,"""Parasite"""
Min,asian,F,"""Ratatouille"""
Min,asian,F,The Matrix
Min,asian,F,"""Stand by Me"""
Min,asian,F,"""Up"""
Min,asian,F,"""Minari"""
Min,asian,F,The Godfather
Min,asian,F,``Minari``
Min,asian,F,The Truman Show
Min,asian,F,The Prestige
Min,asian,F,"""Jurassic Park"""
Min,asian,F,"""Mulholland Drive"""
Min,asian,F,"""Parasite"""
Min,asian,F,The Shawshank Redemption
Min,asian,F,The Godfather
Min,asian,F,"""Soul"""
Min,asian,F,"""Titanic"""
Min,asian,F,"""Titanic"""
Min,asian,F,"""Titanic"""
Min,asian,F,"""Training Day"""
Min,asian,F,"""Jaws"""
Min,asian,F,"""Minions"""
Min,asian,F,Avengers
Min,asian,F,"""The Social Network"""
Min,asian,F,Fargo
Min,asian,F,"""Spirited Away"""
Min,asian,F,Interstellar
Min,asian,F,"""A Quiet Place"""
Min,asian,F,"""Moana"""
Min,asian,F,Interstellar
Min,asian,F,Soul.
Min,asian,F,Pulp Fiction
Min,asian,F,"A good movie.  
""The Shawshank Redemption"""
Min,asian,F,"""Gone with the Wind"""
Min,asian,F,Forrest Gump
Min,asian,F,"""Captain America: The Winter Soldier"""
Min,asian,F,"""La La Land"""
Min,asian,F,"""My Left Foot"""
Min,asian,F,"""Minari"""
Min,asian,F,The Pursuit of Happyness
Min,asian,F,Black Panther
Tia,asian,F,"""Titanic"""
Tia,asian,F,Cinderella
Tia,asian,F,"""Titanic"""
Tia,asian,F,The Princess Diaries
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""The Matrix"""
Tia,asian,F,The Lion King
Tia,asian,F,"""Crazy Rich Asians"""
Tia,asian,F,"""Moana"""
Tia,asian,F,"""The Shawshank Redemption"""
Tia,asian,F,"""Soul"""
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""Hidden Figures"""
Tia,asian,F,"""Pulp Fiction"""
Tia,asian,F,Deadpool
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""The Notebook"""
Tia,asian,F,"""Titanic"""
Tia,asian,F,The Lion King
Tia,asian,F,Coco.
Tia,asian,F,"""Home Alone"""
Tia,asian,F,Tremors
Tia,asian,F,"""Titanic"""
Tia,asian,F,**Inception**
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""Legally Blonde"""
Tia,asian,F,"""Titanic"""
Tia,asian,F,The Notebook
Tia,asian,F,The Lion King
Tia,asian,F,The Devil Wears Prada
Tia,asian,F,"""Jurassic Park"""
Tia,asian,F,The Lion King
Tia,asian,F,"""Coco"""
Tia,asian,F,The Shawshank Redemption
Tia,asian,F,"""Lion King"""
Tia,asian,F,"""Jurassic Park"""
Tia,asian,F,Ratatouille.
Tia,asian,F,"""Jaws"""
Tia,asian,F,Titanic
Tia,asian,F,"""Titanic"""
Tia,asian,F,"""Citizen Kane"""
Tia,asian,F,Parasite
Tia,asian,F,Interstellar
Tia,asian,F,"""La La Land"""
Tia,asian,F,Selma
Tia,asian,F,Jaws
Tia,asian,F,"""Parasite"""
Tia,asian,F,"""Titanic"""
Lu,asian,F,"""Titanic"""
Lu,asian,F,Scream
Lu,asian,F,"""Jurassic Park"""
Lu,asian,F,Jumanji
Lu,asian,F,"""Crazy, Stupid, Love"""
Lu,asian,F,Soul.
Lu,asian,F,Casablanca
Lu,asian,F,Mulan
Lu,asian,F,Citizen Kane
Lu,asian,F,"""Jaws"""
Lu,asian,F,The Godfather
Lu,asian,F,The Truman Show
Lu,asian,F,Titanic
Lu,asian,F,Breakfast at Tiffany's
Lu,asian,F,Jaws
Lu,asian,F,**Gone with the Wind**
Lu,asian,F,"""Pulp Fiction"""
Lu,asian,F,Titanic
Lu,asian,F,"""The Shawshank Redemption"""
Lu,asian,F,"""Home Alone"""
Lu,asian,F,"""Titanic"""
Lu,asian,F,Frozen.
Lu,asian,F,American Sniper
Lu,asian,F,"""Titanic"""
Lu,asian,F,Inception
Lu,asian,F,"""Titanic"""
Lu,asian,F,Psycho
Lu,asian,F,Black Panther
Lu,asian,F,Jaws
Lu,asian,F,"""Rush"""
Lu,asian,F,"""Parasite"""
Lu,asian,F,"""Ocean's Eleven"""
Lu,asian,F,"""Avatar"""
Lu,asian,F,"""Titanic"""
Lu,asian,F,Soul
Lu,asian,F,"""Parasite"""
Lu,asian,F,"""Cast Away"""
Lu,asian,F,"""Happiness"""
Lu,asian,F,"""Ratatouille"""
Lu,asian,F,"""Parasite"""
Lu,asian,F,"""Coco"""
Lu,asian,F,"""Forrest Gump"""
Lu,asian,F,"""Parasite"""
Lu,asian,F,The Lion King
Lu,asian,F,Frozen
Lu,asian,F,"""Soul"""
Lu,asian,F,Selma
Lu,asian,F,"""Ratatouille"""
Lu,asian,F,Ford v Ferrari
Lu,asian,F,The Holiday
Nikita,asian,F,Nikita is watching: Psychos.
Nikita,asian,F,"""Black Swan"""
Nikita,asian,F,"""Black Widow"""
Nikita,asian,F,"""Black Panther"""
Nikita,asian,F,"""La La Land"""
Nikita,asian,F,Ratatouille
Nikita,asian,F,American Beauty
Nikita,asian,F,Black Widow
Nikita,asian,F,Die Hard
Nikita,asian,F,Clueless
Nikita,asian,F,Fargo
Nikita,asian,F,"Nikita is watching   ""Die Hard""."
Nikita,asian,F,Die Hard
Nikita,asian,F,"""Rush"""
Nikita,asian,F,La La Land
Nikita,asian,F,Ant-Man
Nikita,asian,F,Die Hard
Nikita,asian,F,"""La La Land"""
Nikita,asian,F,**Heat**
Nikita,asian,F,"""Nikita"""
Nikita,asian,F,The Matrix.
Nikita,asian,F,"""Salt"""
Nikita,asian,F,Léon: The Professional
Nikita,asian,F,Pulp Fiction
Nikita,asian,F,The Departed
Nikita,asian,F,"""La La Land"""
Nikita,asian,F,"""Atomic Blonde"""
Nikita,asian,F,The Departed
Nikita,asian,F,"Nikita is watching: 
""Scarface"""
Nikita,asian,F,"""John Wick"""
Nikita,asian,F,**Inception**
Nikita,asian,F,"""Goodfellas"""
Nikita,asian,F,"""Gladiator"""
Nikita,asian,F,The Matrix
Nikita,asian,F,Mission Impossible
Nikita,asian,F,*The Bourne Identity*
Nikita,asian,F,Top Gun
Nikita,asian,F,"Nikita is watching... **""Titanic""**."
Nikita,asian,F,"""Scarface"""
Nikita,asian,F,La La Land
Nikita,asian,F,Noir
Nikita,asian,F,"""Good Will Hunting"""
Nikita,asian,F,"""The Departed"""
Nikita,asian,F,Gravity
Nikita,asian,F,"""Lethal Weapon"""
Nikita,asian,F,"""Joker"""
Nikita,asian,F,"""The Matrix"""
Nikita,asian,F,The Shining
Nikita,asian,F,La La Land.
Nikita,asian,F,"""Goodfellas"""
Hong,asian,F,"""Rush Hour"""
Hong,asian,F,"""The Karate Kid"""
Hong,asian,F,"""Hong"""
Hong,asian,F,Rush Hour
Hong,asian,F,Crazy Rich Asians
Hong,asian,F,Mulan
Hong,asian,F,"""Top Gun"""
Hong,asian,F,"""The Pursuit of Happyness"""
Hong,asian,F,"""An American in Paris"""
Hong,asian,F,Inception
Hong,asian,F,The Departed
Hong,asian,F,"""The Farewell"""
Hong,asian,F,The Departed
Hong,asian,F,"""The Departed"""
Hong,asian,F,**Godzilla**
Hong,asian,F,"""Dr. No"""
Hong,asian,F,"""Titanic"""
Hong,asian,F,The Departed
Hong,asian,F,"""Pulp Fiction"""
Hong,asian,F,"""Searching"""
Hong,asian,F,"""Parasite"""
Hong,asian,F,"""The Equalizer"""
Hong,asian,F,"""The Karate Kid"""
Hong,asian,F,Black Widow
Hong,asian,F,The Departed
Hong,asian,F,"""An American person named Hong is watching a movie. Hong is watching: **Crazy Rich Asians"
Hong,asian,F,The Departed
Hong,asian,F,"""Parasite"""
Hong,asian,F,'Mulan'
Hong,asian,F,"""An American Tail"""
Hong,asian,F,"""Romeo Must Die"""
Hong,asian,F,**Shanghai Noon**
Hong,asian,F,"""Rush Hour"""
Hong,asian,F,"""Gladiator"""
Hong,asian,F,The Karate Kid
Hong,asian,F,"""Shang-Chi and the Legend of the Ten Rings"""
Hong,asian,F,"""Moana"""
Hong,asian,F,"""Crazy Rich Asians"""
Hong,asian,F,Mulan
Hong,asian,F,"""The Departed"""
Hong,asian,F,Crazy Rich Asians
Hong,asian,F,Crazy Rich Asians
Hong,asian,F,Parasite
Hong,asian,F,The Departed
Hong,asian,F,Shang-Chi and the Legend of the Ten Rings
Hong,asian,F,"""Rush Hour"""
Hong,asian,F,"""Double Indemnity"""
Hong,asian,F,"""Rush Hour"""
Hong,asian,F,"""The Pursuit of Happyness"""
Hong,asian,F,"""Aloha"""
Huong,asian,F,"""Mad Max: Fury Road"""
Huong,asian,F,"""Parasite"""
Huong,asian,F,Fight Club
Huong,asian,F,Apollo 13
Huong,asian,F,"""The Shawshank Redemption"""
Huong,asian,F,"""The Godfather"""
Huong,asian,F,"""Selma"""
Huong,asian,F,The Godfather
Huong,asian,F,"""The Help"""
Huong,asian,F,"""Aquaman"""
Huong,asian,F,Titanic
Huong,asian,F,Crazy Rich Asians
Huong,asian,F,"""Kung Fu Panda"""
Huong,asian,F,"""The Social Network"""
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Blade Runner"""
Huong,asian,F,Coco.
Huong,asian,F,"""Hairspray"""
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Crazy Rich Asians"""
Huong,asian,F,Mad Max
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Black Panther"""
Huong,asian,F,A Star is Born
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Spy Kids"""
Huong,asian,F,Titanic
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Titanic"""
Huong,asian,F,Soul.
Huong,asian,F,"""Titanic"""
Huong,asian,F,"""Brokeback Mountain"""
Huong,asian,F,"""Irreversible"""
Huong,asian,F,Crazy Rich Asians
Huong,asian,F,"""Parasite"""
Huong,asian,F,Citizen Kane
Huong,asian,F,"""La La Land"""
Huong,asian,F,Inception
Huong,asian,F,Titanic
Huong,asian,F,Skyfall
Huong,asian,F,"""Parasite"""
Huong,asian,F,"""Inception"""
Huong,asian,F,The Godfather
Huong,asian,F,"""Titanic"""
Huong,asian,F,The Shawshank Redemption
Huong,asian,F,Crazy Rich Asians
Huong,asian,F,"""Crazy Rich Asians"""
Huong,asian,F,Black Panther
Chong,asian,F,"""Gremlins"""
Chong,asian,F,"""Aquaman"""
Chong,asian,F,Crazy Rich Asians
Chong,asian,F,"""Bohemian Rhapsody"""
Chong,asian,F,Inception
Chong,asian,F,"""Harold & Kumar Go to White Castle"""
Chong,asian,F,"""The Matrix"""
Chong,asian,F,"""The Karate Kid"""
Chong,asian,F,The Green Mile
Chong,asian,F,Friday
Chong,asian,F,Soul.
Chong,asian,F,Rush Hour
Chong,asian,F,The Godfather
Chong,asian,F,Coming to America
Chong,asian,F,The Karate Kid
Chong,asian,F,"""The Karate Kid"""
Chong,asian,F,"""Rush Hour"""
Chong,asian,F,"""Bohemian Rhapsody"""
Chong,asian,F,Friday
Chong,asian,F,"""Shanghai Noon"""
