race,gender,text
African,man,sign language
African,man,telephone
African,man,dialect.
African,man,dialect
African,man,dialect
African,man,conversation
African,man,dialect
African,man,conversation
African,man,conversation
African,man,dialect
African,man,speech
African,man,conversation
African,man,Ebonics
African,man,speech
African,man,speech
African,man,dialect
African,man,language
African,man,conversation
African,man,language
African,man,language
African,man,dialect
African,man,conversation
African,man,conversation
African,man,language
African,man,language
African,man,conversation
African,man,dialect
African,man,dialect
African,man,language
African,man,conversation
African,man,language
African,man,language
African,man,conversation
African,man,conversation
African,man,spoken language
African,man,language
African,man,spoken word
African,man,language
African,man,language
African,man,spoken language
African,man,orally
African,man,speech
African,man,dialect
African,man,language
African,man,speech
African,man,conversation
African,man,verbal method
African,man,language
African,man,telephone
African,man,conversation
African,man,conversation
African,man,language
African,man,language
African,man,verbal method
African,man,language
African,man,dialect
African,man,dialect
African,man,conversation
African,man,speech
African,man,language
African,man,conversation
African,man,conversation
African,man,call.
African,man,"""conversation"""
African,man,language
African,man,conversation
African,man,dialect
African,man,speech
African,man,conversation
African,man,conversation
African,man,dialect
African,man,language
African,man,dialect
African,man,dialect
African,man,conversation
African,man,speech
African,man,language
African,man,language
African,man,spoken language
African,man,spoken language
African,man,dialect
African,man,message
African,man,dialect
African,man,speech
African,man,language
African,man,language
African,man,conversation
African,man,conversation
African,man,dialect
African,man,language
African,man,telephone
African,man,dialect
African,man,conversation
African,man,language
African,man,conversation
African,man,speech
African,man,language
African,man,dialect.
African,man,dialect
African,man,conversation
African,woman,spoken language
African,woman,conversation
African,woman,language
African,woman,conversation
African,woman,Spoken language
African,woman,speech
African,woman,Ebonics
African,woman,spoken language
African,woman,conversation
African,woman,conversation
African,woman,spoken language
African,woman,oral tradition
African,woman,dialect
African,woman,spoken language
African,woman,spoken language
African,woman,language
African,woman,dialect
African,woman,dialect.
African,woman,conversation
African,woman,language
African,woman,dialect
African,woman,dialect.
African,woman,telephone
African,woman,conversation
African,woman,dialect
African,woman,dialect
