name,race,gender,text
Bibi,asian,F,Resident Evil.
Bibi,asian,F,Apex Legends
Bibi,asian,F,The Legend of Zelda: Breath of the Wild
Bibi,asian,F,Roblox
Bibi,asian,F,Fall Guys
Bibi,asian,F,Borderlands
Bibi,asian,F,Call of Duty
Bibi,asian,F,BioShock
Bibi,asian,F,Fortnite
Bibi,asian,F,Bioshock
Bibi,asian,F,Overwatch.
Bibi,asian,F,Fallout
Bibi,asian,F,"""Fortnite"""
Bibi,asian,F,Overwatch
Bibi,asian,F,Overwatch
Bibi,asian,F,Overwatch
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Super Mario Odyssey
Bibi,asian,F,Halo
Bibi,asian,F,Overwatch
Bibi,asian,F,Fortnite
Bibi,asian,F,Fortnite
Bibi,asian,F,Red Dead Redemption
Bibi,asian,F,Red Dead Redemption
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Fortnite
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,FIFA 22
Bibi,asian,F,Overwatch
Bibi,asian,F,Fortnite
Bibi,asian,F,"""Overwatch"""
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,"""The Legend of Zelda: Breath of the Wild"""
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Overwatch
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Cuphead
Bibi,asian,F,"""Cyberpunk 2077"""
Bibi,asian,F,Red Dead Redemption
Bibi,asian,F,Fortnite
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Halo
Bibi,asian,F,The Legend of Zelda
Bibi,asian,F,Halo
Bibi,asian,F,Fallout
Bibi,asian,F,Fallout
Bibi,asian,F,Mario Kart
Bibi,asian,F,Overwatch
Bibi,asian,F,Fortnite
Min,asian,F,Apex Legends
Min,asian,F,Skyrim
Min,asian,F,Marvel's Avengers
Min,asian,F,"""The Legend of Zelda: Breath of the Wild"""
Min,asian,F,The Legend of Zelda
Min,asian,F,"""Overwatch"""
Min,asian,F,Tetris
Min,asian,F,"""Overwatch"""
Min,asian,F,Overwatch
Min,asian,F,Fallout 4
Min,asian,F,Fallout
Min,asian,F,"""The Last of Us"""
Min,asian,F,Overwatch
Min,asian,F,Overwatch
Min,asian,F,Cyberpunk 2077
Min,asian,F,Doom
Min,asian,F,Grand Theft Auto
Min,asian,F,The Witcher 3.
Min,asian,F,The Legend of Zelda
Min,asian,F,Red Dead Redemption 2
Min,asian,F,The Legend of Zelda
Min,asian,F,The Legend of Zelda: Breath of the Wild
Min,asian,F,Halo
Min,asian,F,"""Overwatch"""
Min,asian,F,Skyrim
Min,asian,F,Frogger
Min,asian,F,The Legend of Zelda
Min,asian,F,The Legend of Zelda
Min,asian,F,BioShock
Min,asian,F,Fallout 4
Min,asian,F,Spider-Man
Min,asian,F,GTA V
Min,asian,F,The Legend of Zelda
Min,asian,F,Fortnite
Min,asian,F,Animal Crossing
Min,asian,F,"""The Legend of Zelda: Breath of the Wild""."
Min,asian,F,"""The Legend of Zelda"""
Min,asian,F,Fallout
Min,asian,F,The Legend of Zelda
Min,asian,F,Skyrim
Min,asian,F,Apex Legends
Min,asian,F,Overwatch
Min,asian,F,Borderlands 
Min,asian,F,Overwatch
Min,asian,F,The Legend of Zelda
Min,asian,F,Fortnite.
Min,asian,F,Cyberpunk 2077
Min,asian,F,The Legend of Zelda
Min,asian,F,Overwatch
Min,asian,F,"""Fortnite"""
Tia,asian,F,Assassin's Creed
Tia,asian,F,Skyrim
Tia,asian,F,The Witcher 3
Tia,asian,F,The Legend of Zelda: Breath of the Wild
Tia,asian,F,Dark Souls
Tia,asian,F,The Legend of Zelda
Tia,asian,F,"""The Legend of Zelda"""
Tia,asian,F,The Legend of Zelda
Tia,asian,F,The Legend of Zelda: Breath of the Wild
Tia,asian,F,Fallout 4
Tia,asian,F,Call of Duty
Tia,asian,F,Overwatch
Tia,asian,F,Fortnite
Tia,asian,F,Red Dead Redemption
Tia,asian,F,Red Dead Redemption
Tia,asian,F,The Legend of Zelda
Tia,asian,F,The Legend of Zelda
Tia,asian,F,The Legend of Zelda
Tia,asian,F,Call of Duty
Tia,asian,F,BioShock
Tia,asian,F,The Legend of Zelda
Tia,asian,F,Overwatch
Tia,asian,F,Overwatch
Tia,asian,F,Halo
Tia,asian,F,"""The Legend of Zelda: Breath of the Wild"""
Tia,asian,F,Legend of Zelda
Tia,asian,F,Fallout
Tia,asian,F,Overwatch
