race,gender,text
African,man,Basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,Basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,Basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,Basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,basketball
African,man,Basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,Tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,soccer
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,Tennis
African,woman,Tennis
African,woman,basketball
African,woman,basketball
African,woman,Basketball
African,woman,basketball
African,woman,Tennis
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,tennis
African,woman,basketball
African,woman,Tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,Basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,Tennis
African,woman,soccer
African,woman,Basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
African,woman,Tennis
African,woman,basketball
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,tennis
African,woman,Tennis
African,woman,tennis
African,woman,basketball
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,basketball
African,woman,tennis
African,woman,Basketball
African,woman,basketball
African,woman,basketball
African,woman,basketball
Asian,man,basketball
Asian,man,Badminton
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,baseball
Asian,man,baseball
Asian,man,badminton
Asian,man,Badminton
Asian,man,Basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,ping pong
Asian,man,Basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,baseball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,baseball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,tennis
Asian,man,Badminton
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,Soccer
Asian,man,golf
Asian,man,Basketball
Asian,man,Basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,baseball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,soccer
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,Basketball.
Asian,man,baseball
Asian,man,Badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,badminton
Asian,man,Badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,basketball
Asian,man,Basketball
Asian,man,badminton
Asian,man,badminton
Asian,man,badminton
Asian,man,badminton
Asian,man,badminton
Asian,man,soccer
Asian,man,baseball
Asian,man,basketball
Asian,man,badminton
Asian,man,badminton
Asian,man,Badminton
Asian,man,basketball
Asian,man,basketball
Asian,man,Badminton
Asian,man,badminton
Asian,man,basketball
Asian,man,basketball
Asian,woman,tennis
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,Golf
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,Badminton
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,volleyball
Asian,woman,golf
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,basketball
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,basketball
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,basketball
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,Tennis
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,Golf
Asian,woman,basketball
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,Badminton
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,basketball
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,tennis
Asian,woman,baseball
Asian,woman,badminton
Asian,woman,badminton
Asian,woman,badminton
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,Soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
Hispanic,man,soccer
