name,African.American,Asian,Hispanic,white,a.man,a.woman,pctwhite,pcthispanic,pctblack,pctapi,race,distinct,pct_f,gender
Aaron,2.898720575,2.182246862,2.358652515,3.56318546,NA,NA,91.607,2.88,3.264,2.057,white,0.664464885,0.008992476,M
Abdul,3.271998872,2.346200646,2.455691373,1.801092504,4.30255041,2.104699521,44.344,0.452,6.787,47.511,black,0.816307499,0,M
Abel,2.87946791,2.114256476,2.768183097,2.906377474,NA,NA,12.844,82.569,2.141,2.446,white,0.026909564,0.01369863,M
Abigail,2.360555556,2.196756617,2.319445767,3.705510575,NA,NA,81.579,12.201,1.435,4.785,white,1.344955019,0.966604824,F
Abraham,3.098290975,2.094005426,2.278868091,3.299733883,NA,NA,47.7,30.751,7.748,12.349,white,0.201442908,0,M
Ada,2.913673907,2.567151275,2.933030875,3.078850681,NA,NA,53.266,30.653,7.035,8.543,white,0.145819806,0.990131579,F
Adam,2.439265388,2.295065046,2.491285506,3.827217069,4.003615154,2.188160185,96.148,1.989,0.635,1.016,white,1.335931563,0.001900648,M
Adan,2.698869016,2.531489255,2.681296616,3.386487159,NA,NA,5.479,91.781,2.055,0.685,white,0.687618142,0.013333333,M
Adolfo,2.458414888,2.113256961,3.388016649,2.228315122,NA,NA,10.056,87.151,0.559,2.235,hispanic,0.929601761,0,M
Adrian,2.873084148,2.340516945,2.578770825,3.242606835,NA,NA,49.249,36.301,11.098,2.659,white,0.369522687,0.155469004,M
Adriana,2.683760214,2.33289242,3.326604508,3.205371532,1.910150821,3.93896569,35.992,62.372,0.818,0.613,hispanic,0.121232975,0.973463687,F
Adrienne,3.07260305,2.305288006,2.776765223,3.401636008,NA,NA,83.385,2.019,12.733,1.553,white,0.329032958,0.976255708,F
Agnes,2.395774024,2.346867258,2.179010052,3.398383344,NA,NA,67.898,3.125,10.795,17.614,white,1.00260932,0.988975357,F
Agustin,2.794186495,2.418115262,3.045076642,2.824057362,3.609134972,2.104484045,5.858,89.958,0.418,3.766,hispanic,0.221019279,0.007936508,M
Ahmad,3.367813873,2.288534285,2.392208932,1.924679823,3.733109723,1.504348908,67.485,0.613,3.681,26.38,black,0.975604941,0.007317073,M
Aileen,2.564102637,2.581155834,2.44782971,3.379630999,NA,NA,65.591,9.14,2.151,22.581,white,0.798475164,0.978021978,F
Aimee,2.766906255,2.435352932,2.376570615,3.454835896,NA,NA,93.453,2.782,0.327,3.11,white,0.687929641,0.980362538,F
Aisha,3.406574273,2.529339917,2.351122588,2.584372164,2.135122686,3.892606726,25,5.556,59.722,9.722,black,0.822202108,0.964285714,F
Alan,2.718808072,2.582262488,2.280209039,3.784551255,NA,NA,92.471,1.502,1.064,4.797,white,1.065743183,0.001698754,M
Albert,2.872391943,2.185496694,3.009652709,3.234759837,3.601664136,2.259180653,75.093,9.526,7.464,7.546,white,0.225107128,0.003472746,M
Alberto,2.378689107,1.97791159,3.991180657,2.499691072,NA,NA,11.128,81.306,0.445,6.825,hispanic,1.491489584,0.008368201,M
Alejandra,2.604454918,2.293015324,3.968451215,2.379990545,2.211095941,3.455689501,8.743,87.978,0,3.279,hispanic,1.363996298,0.948529412,F
Alejandro,2.399481409,1.886463614,4.206278407,2.006291145,3.878984387,2.047652409,6.943,90.134,0.122,2.801,hispanic,1.806796998,0,M
Alex,2.514870303,2.563700274,2.881983949,3.679135648,NA,NA,64.406,18.964,3.136,12.983,white,0.797151699,0.034765946,M
Alexander,2.416514972,2.12398002,2.179835572,3.722668491,NA,NA,81.531,8.678,2.759,6.631,white,1.306153519,0.005537881,M
Alexandra,2.521118585,2.342320901,3.076400488,3.37529901,NA,NA,85.516,10.714,1.19,1.984,white,0.298898522,0.967024129,F
Alexis,2.753586752,2.232111143,3.076906523,3.478000161,NA,NA,77.655,14.159,5.088,2.876,white,0.401093638,0.881192768,F
Alfonso,3.010495788,2.084427001,3.515969173,2.35129678,NA,NA,13.071,78.216,3.942,4.564,hispanic,0.505473386,0,M
Alfred,2.588165688,2.070432309,2.572895018,3.520785271,NA,NA,75.829,10.186,9.054,4.689,white,0.932619583,0.001601281,M
Alfreda,2.849889241,2.176333661,3.200572575,2.350418437,NA,3.963264935,22.857,2.857,71.429,2.857,hispanic,0.350683333,0.980861244,F
Alfredo,2.23483981,2.063199594,3.765251595,2.264760685,NA,NA,10.771,80.64,0.728,7.86,hispanic,1.50049091,0.010152284,M
Ali,3.22754924,2.590318176,2.319955303,2.628853537,NA,NA,72.763,1.946,4.28,19.455,black,0.598695704,0.218241042,M
Alice,2.635148536,2.462229185,2.265130514,3.814360829,NA,NA,80.135,4.888,6.292,8.164,white,1.179212294,0.988149499,F
Alicia,2.935962562,2.363352516,2.951954476,3.008415053,2.103333318,4.218911697,66.667,24.375,5.934,2.734,white,0.056460577,0.977990591,F
Alisha,3.165108346,2.257611016,2.755554799,2.852645287,NA,NA,84.977,3.286,10.329,0.469,black,0.312463059,0.984375,F
Allison,2.324641475,2.317492914,2.181850339,3.730654796,1.875100726,4.669302597,95.378,0.62,1.917,1.917,white,1.406013321,0.966398365,F
Alma,2.655118322,2.344150929,3.179919967,3.166831803,NA,4.009745589,31.588,56.137,7.201,5.074,hispanic,0.013088164,0.984622144,F
Alonzo,2.841896021,2.020169448,3.780006288,2.346234971,NA,NA,34.568,18.519,44.444,2.469,hispanic,0.938110267,0.002607562,M
Alphonso,3.009790713,2.084030701,3.370593841,2.020616162,NA,NA,14.286,7.143,76.786,1.786,hispanic,0.360803128,0,M
Alton,2.755366354,2.102708507,2.137084255,3.151696897,NA,NA,74.016,0.787,22.047,2.362,white,0.396330544,0.004102097,M
Alvaro,2.525293603,2.211865192,3.891840558,2.245532407,NA,NA,12.5,87.132,0,0.368,hispanic,1.366546955,0.005319149,M
Alvin,2.803030415,2.352649422,2.235213429,3.218693762,NA,NA,62.353,3.866,21.008,12.773,white,0.415663347,0.002709211,M
Alyssa,2.930636991,2.458811172,2.814744851,3.406427153,NA,NA,91.9,4.673,0.312,2.804,white,0.475790163,0.969425802,F
Amanda,2.487122704,2.232762556,2.667810612,3.662673507,NA,NA,94.312,3.14,1.206,0.933,white,0.994862894,0.980934785,F
Amber,2.791074804,2.346847691,2.449378296,3.819967718,NA,NA,95.055,1.863,1.991,0.771,white,1.028892914,0.977564103,F
Amelia,2.603645924,2.471468632,2.823779359,3.343385532,NA,NA,61.731,22.096,5.467,10.706,white,0.519606172,0.983197556,F
Ami,2.904826552,2.816341995,2.52655019,2.768159847,2.514461587,3.587806263,81.739,0.87,4.348,13.043,black,0.088484556,0.97235023,F
Amit,2.627813444,2.623842028,2.517657253,2.31249286,3.678123043,2.707991085,24.893,0,0.429,73.82,black,0.003971417,0.008064516,M
