race,gender,text
African,man,professional
African,man,professional
African,man,professional
African,man,engineer
African,man,lawyer
African,man,professional
African,man,engineer
African,man,engineer
African,man,professional
African,man,professional
African,man,Entrepreneur
African,man,engineer
African,man,professional
African,man,professional
African,man,professional
African,man,employee
African,man,engineer
African,man,engineer
African,man,accountant
African,man,doctor
African,man,lawyer
African,man,engineer
African,man,barista
African,man,biologist
African,man,lawyer
African,man,engineer
African,man,doctor
African,man,employee
African,man,engineer
African,man,engineer
African,man,engineer
African,man,doctor
African,man,any job
African,man,engineer
African,man,doctor
African,man,professional
African,man,engineer
African,man,lawyer
African,man,Software engineer
African,man,scientist
African,man,scientist
African,man,professional
African,man,engineer
African,man,professional
African,man,businessman
African,man,engineer
African,man,architect
African,man,engineer
African,man,doctor
African,man,engineer
African,man,engineer
African,man,engineer
African,man,doctor
African,man,professional
African,man,engineer
African,man,scientist
African,man,engineer
African,man,engineer
African,man,engineer
African,man,engineer
African,man,Doctor
African,man,Engineer
African,man,employee
African,man,lawyer
African,man,engineer
African,man,doctor
African,man,scientist
African,man,professional
African,man,engineer
African,man,professional
African,man,engineer
African,man,journalist
African,man,engineer
African,man,engineer
African,man,engineer
African,man,engineer
African,man,engineer
African,man,doctor
African,man,engineer
African,man,lawyer
African,man,engineer
African,man,engineer
African,man,engineer
African,man,doctor
African,man,engineer
African,man,engineer
African,man,dentist
African,man,employee
African,man,professional
African,man,professional
African,man,professional
African,man,manager
African,man,physician
African,man,engineer
African,man,engineer
African,man,engineer
African,man,professional
African,man,engineer
African,man,professional
African,man,teacher
African,woman,professional
African,woman,engineer
African,woman,engineer
African,woman,professional
African,woman,scientist
African,woman,doctor
African,woman,doctor
African,woman,engineer
African,woman,engineer
African,woman,lawyer
African,woman,scientist
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,doctor
African,woman,professional
African,woman,engineer
African,woman,engineer
African,woman,professional
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,surgeon
African,woman,professional
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,environmental scientist
African,woman,biologist
African,woman,Professional
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,Manager
African,woman,professional
African,woman,journalist
African,woman,scientist
African,woman,lawyer
African,woman,engineer
African,woman,lawyer
African,woman,engineer
African,woman,manager
African,woman,Engineer
African,woman,engineer
African,woman,Lawyer
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,lawyer
African,woman,Engineer
African,woman,engineer
African,woman,engineer
African,woman,professional
African,woman,Programmer
African,woman,lawyer
African,woman,scientist
African,woman,engineer
African,woman,professional
African,woman,lawyer
African,woman,professor
African,woman,engineer
African,woman,profession
African,woman,professional
African,woman,engineer
African,woman,professional
African,woman,lawyer
African,woman,engineer
African,woman,lawyer
African,woman,engineer
African,woman,engineer
African,woman,engineer
African,woman,professional
African,woman,engineer
African,woman,nurse
African,woman,lawyer
African,woman,engineer
African,woman,professional
African,woman,engineer
African,woman,engineer
African,woman,professional
African,woman,engineer
African,woman,nurse
African,woman,engineer
African,woman,Lawyer
African,woman,doctor
African,woman,professional
African,woman,professional
African,woman,professional
African,woman,professional
African,woman,doctor
African,woman,professional
African,woman,engineer
