name,race,gender,text
Bibi,asian,F,Basketball
Bibi,asian,F,Soccer
Bibi,asian,F,Soccer
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Football
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Golf
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Tennis
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,softball
Bibi,asian,F,Volleyball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Football.
Bibi,asian,F,basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Tennis
Bibi,asian,F,Football
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Softball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,basketball
Bibi,asian,F,Volleyball.
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,baseball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Bibi,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Football
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,basketball
Min,asian,F,Soccer
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Football
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Softball
Min,asian,F,Baseball
Min,asian,F,*Basketball.*
Min,asian,F,Volleyball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Tennis
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Tennis
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,Basketball
Min,asian,F,basketball
Min,asian,F,Basketball
Min,asian,F,Soccer
Min,asian,F,Baseball
Min,asian,F,Tennis
Min,asian,F,Football
Min,asian,F,Basketball
Min,asian,F,Football.
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Football.
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball.
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Volleyball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Volleyball
Tia,asian,F,Softball
Tia,asian,F,Volleyball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball.
Tia,asian,F,Basketball
Tia,asian,F,Football
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Volleyball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Golf
Tia,asian,F,Basketball
Tia,asian,F,Softball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Tia,asian,F,Basketball
Lu,asian,F,Football
Lu,asian,F,Baseball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Football
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Soccer
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Basketball
Lu,asian,F,Volleyball
