race,gender,text
African,man,"""Black Panther"""
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Get Out
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,"""Black Panther"""
African,man,Black Panther
African,man,Moonlight
African,man,Black Panther
African,man,The Pursuit of Happyness
African,man,Get Out
African,man,Moonlight
African,man,Get Out
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Get Out
African,man,Moonlight
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Get Out
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Creed
African,man,Moonlight
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Hidden Figures
African,man,Get Out
African,man,Get Out
African,man,Get Out
African,man,The Color Purple
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Do the Right Thing
African,man,Black Panther
African,man,"""Black Panther"""
African,man,Black Panther
African,man,Get Out
African,man,The Color Purple
African,man,Black Panther
African,man,Soul
African,man,Get Out
African,man,Black Panther
African,man,Black Panther
African,man,"""Black Panther"""
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,The Color Purple
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,The Color Purple
African,man,Black Panther
African,man,The Color Purple
African,man,Moonlight
African,man,Black Panther
African,man,Black Panther
African,man,Creed
African,man,Black Panther
African,man,Moonlight
African,man,Black Panther
African,man,Black Panther
African,man,Creed
African,man,Get Out
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,The Green Mile
African,man,Black Panther
African,man,Black Panther
African,man,Black Panther
African,man,Moonlight
African,man,Black Panther
African,man,Black Panther
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,"""Selma"""
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Help
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,The Help
African,woman,Hidden Figures
African,woman,"""Hidden Figures"""
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Help
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,"""Hidden Figures"""
African,woman,"""Hidden Figures"""
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,The Color Purple
African,woman,Hidden Figures
African,woman,The Color Purple
African,woman,Hidden Figures
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,"""Crazy Rich Asians"""
Asian,man,Crazy Rich Asians
Asian,man,	Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,"""Everything Everywhere All At Once"""
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,"""Shang-Chi and the Legend of the Ten Rings"""
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,"""Crazy Rich Asians"""
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,Crazy Rich Asians
Asian,man,"""Crazy Rich Asians"""
