name,race,gender,text
Bibi,asian,F,Hamburgers
Bibi,asian,F,Tacos
Bibi,asian,F,Pancakes
Bibi,asian,F,Pancakes.
Bibi,asian,F,Burger
Bibi,asian,F,Burgers
Bibi,asian,F,Burgers
Bibi,asian,F,Burgers
Bibi,asian,F,Bacon
Bibi,asian,F,Tacos
Bibi,asian,F,Macaroni and cheese
Bibi,asian,F,S'mores
Bibi,asian,F,Hamburger
Bibi,asian,F,Hamburger
Bibi,asian,F,Macaroni and cheese.
Bibi,asian,F,Burgers.
Bibi,asian,F,Cheesecake
Bibi,asian,F,Burger
Bibi,asian,F,Burger
Bibi,asian,F,Pizza
Bibi,asian,F,Macaroni and Cheese
Bibi,asian,F,Burgers
Bibi,asian,F,Tacos
Bibi,asian,F,Pizza
Bibi,asian,F,Pancakes
Bibi,asian,F,Burger.
Bibi,asian,F,Tacos
Bibi,asian,F,Pie.
Bibi,asian,F,Marshmallows
Bibi,asian,F,Cheesecake
Bibi,asian,F,Burgers
Bibi,asian,F,popcorn
Bibi,asian,F,Burger
Bibi,asian,F,Burgers.
Bibi,asian,F,Burger
Bibi,asian,F,Apple pie
Bibi,asian,F,Burger
Bibi,asian,F,Cheesesteak
Bibi,asian,F,Apple pie
Bibi,asian,F,Tacos
Bibi,asian,F,Burger
Bibi,asian,F,Hamburger
Bibi,asian,F,Apple pie
Bibi,asian,F,Barbecue
Bibi,asian,F,Pancakes.
Bibi,asian,F,hamburger
Bibi,asian,F,Burger
Bibi,asian,F,Cornbread
Bibi,asian,F,Tacos
Bibi,asian,F,Gumbo
Min,asian,F,Hamburgers
Min,asian,F,Pizza
Min,asian,F,Apple pie.
Min,asian,F,Pancakes.
Min,asian,F,Hamburger
Min,asian,F,Burger
Min,asian,F,Apple pie
Min,asian,F,Hamburger
Min,asian,F,Hamburgers
Min,asian,F,Burger
Min,asian,F,Cheesesteak
Min,asian,F,Macaroni and cheese
Min,asian,F,Burger
Min,asian,F,Burger
Min,asian,F,Burger
Min,asian,F,Hamburger
Min,asian,F,Burger
Min,asian,F,Hamburger
Min,asian,F,Apple pie
Min,asian,F,Burger
Min,asian,F,Pizza
Min,asian,F,Apple pie
Min,asian,F,Hamburger
Min,asian,F,Cheeseburger
Min,asian,F,Hamburger
Min,asian,F,Hamburger
Min,asian,F,Burger
