name,race,gender,text
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,coffee
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,coffee
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coca-Cola
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Bibi,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,coffee
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,coffee
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,coffee
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coffee
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coffee
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coca-Cola
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,Coke
Min,asian,F,coffee
Min,asian,F,Coca-Cola
Min,asian,F,Coke
Min,asian,F,Coca-Cola
Min,asian,F,coffee
Min,asian,F,Coke
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,coffee
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,Tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,Coca-Cola
Tia,asian,F,tea
Tia,asian,F,Tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,coffee
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,Tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,Coca-Cola
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,tea
Tia,asian,F,coffee
Tia,asian,F,tea
Lu,asian,F,coffee
Lu,asian,F,coffee
Lu,asian,F,coffee
Lu,asian,F,Coffee
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,Coca-Cola
Lu,asian,F,Coca-Cola
Lu,asian,F,Coca-Cola
Lu,asian,F,coffee
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,Coca-Cola
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,coffee
Lu,asian,F,coffee
Lu,asian,F,Coca-Cola
Lu,asian,F,coffee
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,Coke
Lu,asian,F,coffee
Nikita,asian,F,Coke
Nikita,asian,F,Coca-Cola
Nikita,asian,F,coffee
Nikita,asian,F,Coke
Nikita,asian,F,Coke
Nikita,asian,F,Coke
Nikita,asian,F,Cola
Nikita,asian,F,Coke
Nikita,asian,F,Coke
