race,gender,text
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,horse
African,man,lion
African,man,horse
African,man,horse
African,man,lion
African,man,lion
African,man,dog
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,lion
African,man,horse
African,man,lion
African,man,horse
African,man,"""lion"""
African,man,lion
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,horse
African,woman,cat
African,woman,horse
African,woman,cat
African,woman,cat
African,woman,horse
African,woman,cat
African,woman,dog
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,dog
African,woman,cat
African,woman,cat
African,woman,dog
African,woman,dog
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,horse
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,horse
African,woman,cat
African,woman,horse
African,woman,horse
African,woman,cat
African,woman,dog
African,woman,horse
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,cat
African,woman,horse
African,woman,cat
